timestamp,event_type,position_id,event_name,strike,side,order_type,tokens,entry_price,exit_price,invested_usd,realized_pnl_usd,roi_pct,entry_edge_pct,entry_reason,close_reason,runtime_min
2026-03-01T12:38:22.069735+00:00,OPEN,e65da03f,Bitcoin above ___ on March 1?,64000,YES,MAKER_POST_ONLY,207.95,0.9520,,197.97,,,1.25,edge=1.2% w=0.198 iv=73.6%,,
2026-03-01T12:38:42.179155+00:00,OPEN,a320feb8,Bitcoin above ___ on March 1?,64000,YES,MAKER_POST_ONLY,232.41,0.9520,,221.25,,,1.39,edge=1.4% w=0.221 iv=73.6%,,
2026-03-01T17:00:01.660055+00:00,CLOSE,e65da03f,Bitcoin above ___ on March 1?,64000,YES,MAKER_POST_ONLY,207.95,0.9520,1.0000,197.97,9.9817,5.04,1.25,edge=1.2% w=0.198 iv=73.6%,EXPIRY_WIN,261.7
2026-03-01T17:00:01.660654+00:00,CLOSE,a320feb8,Bitcoin above ___ on March 1?,64000,YES,MAKER_POST_ONLY,232.41,0.9520,1.0000,221.25,11.1554,5.04,1.39,edge=1.4% w=0.221 iv=73.6%,EXPIRY_WIN,261.3
2026-03-02T02:56:42.756941+00:00,OPEN,50692336,Bitcoin above ___ on March 5?,74000,YES,MAKER_POST_ONLY,392.14,0.0210,,8.23,,,1.60,edge=1.6% w=0.008 iv=65.5%,,
2026-03-02T02:56:43.826330+00:00,CLOSE,50692336,Bitcoin above ___ on March 5?,74000,YES,MAKER_POST_ONLY,392.14,0.0210,0.0210,8.23,0.0000,0.00,1.60,edge=1.6% w=0.008 iv=65.5%,TP:tp_hit_liquid,0.0
2026-03-02T03:20:24.547886+00:00,OPEN,5b5a6e5c,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,61.76,0.0840,,5.19,,,2.50,edge=2.5% w=0.005 iv=64.0%,,
2026-03-02T03:20:24.549099+00:00,OPEN,7ecf11e9,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,66.36,0.0850,,5.64,,,2.65,edge=2.7% w=0.006 iv=64.0%,,
2026-03-02T03:20:30.797755+00:00,OPEN,39abfc37,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,63.52,0.0840,,5.34,,,2.53,edge=2.5% w=0.005 iv=64.0%,,
2026-03-02T03:20:40.117469+00:00,OPEN,6e3c1645,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,69.86,0.0850,,5.94,,,2.72,edge=2.7% w=0.006 iv=64.0%,,
2026-03-02T03:21:01.553712+00:00,OPEN,701e9fdf,Bitcoin above ___ on March 6?,76000,YES,MAKER_POST_ONLY,653.68,0.0150,,9.81,,,1.93,edge=1.9% w=0.010 iv=65.8%,,
2026-03-02T03:56:47.213621+00:00,CLOSE,5b5a6e5c,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,61.76,0.0840,0.1100,5.19,1.6056,30.95,2.50,edge=2.5% w=0.005 iv=64.0%,TP:tp_hit_liquid,36.4
2026-03-02T03:56:47.214018+00:00,CLOSE,7ecf11e9,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,66.36,0.0850,0.1100,5.64,1.6590,29.41,2.65,edge=2.7% w=0.006 iv=64.0%,TP:tp_hit_liquid,36.4
2026-03-02T03:56:47.214334+00:00,CLOSE,39abfc37,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,63.52,0.0840,0.1100,5.34,1.6516,30.95,2.53,edge=2.5% w=0.005 iv=64.0%,TP:tp_hit_liquid,36.3
2026-03-02T03:56:47.214636+00:00,CLOSE,6e3c1645,Bitcoin above ___ on March 3?,70000,YES,MAKER_POST_ONLY,69.86,0.0850,0.1100,5.94,1.7465,29.41,2.72,edge=2.7% w=0.006 iv=64.0%,TP:tp_hit_liquid,36.1
2026-03-02T04:53:07.957909+00:00,OPEN,763bf1c9,Bitcoin above ___ on March 3?,72000,YES,MAKER_POST_ONLY,244.30,0.0230,,5.62,,,1.82,edge=1.8% w=0.006 iv=69.7%,,
2026-03-02T07:41:00.447396+00:00,OPEN,f7c46d7a,Bitcoin above ___ on March 4?,70000,YES,MAKER_POST_ONLY,60.57,0.0910,,5.51,,,1.19,edge=1.2% w=0.005 iv=61.8%,,
2026-03-02T07:41:00.449271+00:00,OPEN,5e8d741d,Bitcoin above ___ on March 4?,70000,YES,MAKER_POST_ONLY,60.18,0.0910,,5.48,,,1.17,edge=1.2% w=0.005 iv=61.8%,,
2026-03-02T13:31:54.744046+00:00,OPEN,5e16971e,Bitcoin above ___ on March 3?,70000,YES,TAKER_FAK,161.17,0.0330,,5.32,,,2.93,edge=2.9% w=0.005 iv=70.7%,,
2026-03-02T14:34:26.853019+00:00,OPEN,8ec73057,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,110.91,0.0580,,6.43,,,2.01,edge=2.0% w=0.006 iv=58.7%,,
2026-03-02T14:35:16.994438+00:00,CLOSE,8ec73057,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,110.91,0.0580,0.0580,6.43,0.0000,0.00,2.01,edge=2.0% w=0.006 iv=58.7%,TP:tp_hit_liquid,0.8
2026-03-02T14:35:24.232378+00:00,OPEN,24cf551c,Bitcoin above ___ on March 5?,72000,YES,MAKER_POST_ONLY,174.04,0.0430,,7.48,,,1.54,edge=1.5% w=0.007 iv=60.5%,,
2026-03-02T14:36:19.507940+00:00,CLOSE,24cf551c,Bitcoin above ___ on March 5?,72000,YES,MAKER_POST_ONLY,174.04,0.0430,0.0440,7.48,0.1740,2.33,1.54,edge=1.5% w=0.007 iv=60.5%,TP:tp_hit_liquid,0.9
2026-03-02T14:48:09.878197+00:00,OPEN,0ad5b606,Bitcoin above ___ on March 8?,72000,YES,MAKER_POST_ONLY,69.76,0.1010,,7.05,,,1.25,edge=1.3% w=0.007 iv=51.7%,,
2026-03-02T14:48:22.449479+00:00,OPEN,e603e71f,Bitcoin above ___ on March 8?,72000,YES,MAKER_POST_ONLY,74.75,0.1010,,7.55,,,1.34,edge=1.3% w=0.008 iv=51.7%,,
2026-03-02T14:49:32.750281+00:00,OPEN,a8388df4,Bitcoin above ___ on March 6?,76000,YES,MAKER_POST_ONLY,555.24,0.0130,,7.22,,,1.65,edge=1.6% w=0.007 iv=67.3%,,
2026-03-03T17:00:00.966358+00:00,CLOSE,5e16971e,Bitcoin above ___ on March 3?,70000,YES,TAKER_FAK,161.17,0.0330,0.0000,5.32,-5.3185,-100.00,2.93,edge=2.9% w=0.005 iv=70.7%,EXPIRY_LOSS,1648.1
2026-03-03T17:01:07.704142+00:00,CLOSE,0ad5b606,Bitcoin above ___ on March 8?,72000,YES,MAKER_POST_ONLY,69.76,0.1010,0.1700,7.05,4.8131,68.32,1.25,edge=1.3% w=0.007 iv=51.7%,TP:tp_hit_liquid,1573.0
2026-03-03T17:01:07.704706+00:00,CLOSE,e603e71f,Bitcoin above ___ on March 8?,72000,YES,MAKER_POST_ONLY,74.75,0.1010,0.1700,7.55,5.1577,68.32,1.34,edge=1.3% w=0.008 iv=51.7%,TP:tp_hit_liquid,1572.8
2026-03-03T17:08:01.154328+00:00,OPEN,dea5192d,Bitcoin above ___ on March 4?,68000,YES,MAKER_POST_ONLY,11.73,0.4810,,5.64,,,1.11,edge=1.1% w=0.006 iv=58.2%,,
2026-03-03T17:18:53.312645+00:00,CLOSE,dea5192d,Bitcoin above ___ on March 4?,68000,YES,MAKER_POST_ONLY,11.73,0.4810,0.4900,5.64,0.1056,1.87,1.11,edge=1.1% w=0.006 iv=58.2%,TP:tp_hit_liquid,10.9
2026-03-03T17:23:38.137706+00:00,OPEN,336d58d8,Bitcoin above ___ on March 4?,72000,YES,MAKER_POST_ONLY,129.27,0.0410,,5.30,,,1.92,edge=1.9% w=0.005 iv=70.3%,,
2026-03-03T17:29:52.674125+00:00,OPEN,3a65c712,Bitcoin above ___ on March 6?,74000,YES,MAKER_POST_ONLY,125.93,0.0450,,5.67,,,1.07,edge=1.1% w=0.006 iv=60.3%,,
2026-03-04T04:42:03.905602+00:00,OPEN,e3efd82a,Bitcoin above ___ on March 4?,66000,YES,TAKER_FAK,59.52,0.8400,,50.00,,,16.00,edge=16.0% w=0.500 iv=80.6% T=0.5d deribit=4MAR26,,
2026-03-04T04:42:03.917301+00:00,OPEN,34d710c9,Bitcoin above ___ on March 5?,66000,YES,TAKER_FAK,66.67,0.7500,,50.00,,,25.00,edge=25.0% w=0.500 iv=64.8% T=1.5d deribit=5MAR26,,
2026-03-04T04:42:03.967912+00:00,OPEN,db0edd8b,Bitcoin above ___ on March 8?,64000,YES,TAKER_FAK,25.30,0.8200,,20.75,,,18.00,edge=18.0% w=0.021 iv=61.8% T=4.5d deribit=13MAR26,,
2026-03-04T04:42:04.022098+00:00,OPEN,4f6de780,Bitcoin above ___ on March 9?,64000,YES,TAKER_FAK,29.00,0.8000,,23.20,,,20.00,edge=20.0% w=0.067 iv=61.8% T=5.5d deribit=13MAR26,,
2026-03-04T04:42:04.022685+00:00,OPEN,7394f8fc,Bitcoin above ___ on March 9?,66000,YES,TAKER_FAK,75.76,0.6600,,50.00,,,31.65,edge=31.6% w=0.433 iv=58.5% T=5.5d deribit=13MAR26,,
2026-03-04T04:42:04.081522+00:00,OPEN,279e08ab,Bitcoin above ___ on March 10?,66000,YES,TAKER_FAK,76.92,0.6500,,50.00,,,30.34,edge=30.3% w=0.369 iv=58.5% T=6.5d deribit=13MAR26,,
2026-03-04T04:42:45.688210+00:00,OPEN,680184de,Bitcoin above ___ on March 8?,66000,YES,TAKER_FAK,73.53,0.6800,,50.00,,,31.25,edge=31.3% w=0.478 iv=58.5% T=4.5d deribit=13MAR26,,
2026-03-04T04:43:07.002391+00:00,OPEN,92ca8281,Bitcoin above ___ on March 10?,64000,YES,TAKER_FAK,62.50,0.8000,,50.00,,,20.00,edge=20.0% w=0.107 iv=61.8% T=6.5d deribit=13MAR26,,
